Title,Title_link,list-card-price,list-card-type,Field2,Field1,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"54 Kirkwood Rd NE, Atlanta, GA",https://www.zillow.com/homedetails/54-Kirkwood-Rd-NE-Atlanta-GA-30317/2082482322_zpid/,"$849,900",New construction,4 ba,5 bds,"3,146 sqft","$839,050",Single Family,2019,Forced air,Central,Attached Garage,"8,276 sqft",$270,"$4,324"
"16 Howell St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/16-Howell-St-SE-Atlanta-GA-30312/35878474_zpid/,"$489,000",House for sale,2 ba,3 bds,"1,697 sqft","$480,109",Single Family,1924,Heat pump,Central,No Data,"4,530 sqft",$288,"$2,401"
"344 Wilkinson Dr SE # 1-4, Atlanta, GA 30317",https://www.zillow.com/homedetails/344-Wilkinson-Dr-SE-1-4-Atlanta-GA-30317/2091028238_zpid/,"$950,000",House for sale,2 ba,3 bds,"1,725 sqft","$925,308",Single Family,1946,Forced air,Central,Detached Garage,2.1 acres,$551,"$4,833"
"72 Walthall St SE # B, Atlanta, GA",https://www.zillow.com/homedetails/72-Walthall-St-SE-B-Atlanta-GA-30316/2082486568_zpid/,"$699,900",New construction,3 ba,4 bds,"2,171 sqft","$692,123",Townhouse,2019,Forced air,Central,Attached Garage,"8,145 sqft",$322,"$3,537"
"71 Vannoy St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/71-Vannoy-St-SE-Atlanta-GA-30317/14467928_zpid/,"$415,000",House for sale,2 ba,3 bds,"1,195 sqft","$401,462",Single Family,1925,Forced air,Central,4 spaces,"8,712 sqft",$347,"$2,051"
"549 Parkway Dr NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/549-Parkway-Dr-NE-Atlanta-GA-30308/35879136_zpid/,"$600,000",Townhouse for sale,2 ba,2 bds,"1,570 sqft","$598,402",Townhouse,1985,Forced air,Central,2 spaces,"5,619 sqft",$382,"$2,949"
"170 Boulevard SE APT E309, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-E309-Atlanta-GA-30312/2114757719_zpid/,"$500,000",Condo for sale,2 ba,2 bds,"1,865 sqft","$494,987",Condo,2005,Forced air,Central,No Data,$42/month,$268,"$2,497"
"840 Teton Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/840-Teton-Ave-SE-Atlanta-GA-30312/35871808_zpid/,"$225,000",House for sale,1 ba,3 bds,875 sqft,"$153,466",Single Family,1952,Forced air,Other,1 space,"8,624 sqft",$257,"$1,147"
"1224 Avondale Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1224-Avondale-Ave-SE-Atlanta-GA-30312/35871843_zpid/,"$225,000",House for sale,1 ba,3 bds,875 sqft,"$152,563",Single Family,1960,Forced air,Other,Carport,0.29 acres,$257,"$1,147"
"208 Haralson Ln NE, Atlanta, GA",https://www.zillow.com/homedetails/208-Haralson-Ln-NE-Atlanta-GA-30307/283677898_zpid/,"$1,170,000",New construction,5 ba,6 bds,"3,162 sqft",,Single Family,2019,"Forced air, Heat pump",Central,Detached Garage,"6,621 sqft",$370,"$5,913"
"702 Boulevard Se, Atlanta, GA 30312",https://www.zillow.com/homedetails/702-Boulevard-Se-Atlanta-GA-30312/35867637_zpid/,"$799,990",House for sale,5 ba,5 bds,"4,382 sqft","$788,944",Single Family,1907,Forced air,Central,2 spaces,"8,755 sqft",$183,"$4,043"
"10 Lullwater Pl NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/10-Lullwater-Pl-NE-Atlanta-GA-30307/14479632_zpid/,"$359,900",Townhouse for sale,3 ba,2 bds,"1,902 sqft","$349,171",Townhouse,1972,No Data,Central,2 spaces,871 sqft,$189,"$2,139"
"737 Barnett St NE APT A3, Atlanta, GA 30306",https://www.zillow.com/homedetails/737-Barnett-St-NE-APT-A3-Atlanta-GA-30306/65460726_zpid/,"$257,900",Condo for sale,1 ba,1 bd,926 sqft,"$253,599",Condo,1945,Forced air,Central,1 space,$314/month,$279,"$1,580"
"791 Wylie St SE APT 510, Atlanta, GA 30316",https://www.zillow.com/homedetails/791-Wylie-St-SE-APT-510-Atlanta-GA-30316/2103315990_zpid/,"$259,900",House for sale,1 ba,1 bd,724 sqft,"$250,124",Single Family,2003,Forced air,Central,1 space,No Data,$359,"$1,477"
"1558 Marona St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1558-Marona-St-NE-Atlanta-GA-30307/14468834_zpid/,"$315,000",House for sale,3 ba,4 bds,"1,478 sqft","$295,907",Single Family,1988,Forced air,Central,2 spaces,"8,712 sqft",$213,"$1,557"
"480 John Wesley Dobbs Ave NE UNIT 427, Atlanta, GA 30312",https://www.zillow.com/homedetails/480-John-Wesley-Dobbs-Ave-NE-UNIT-427-Atlanta-GA-30312/88814421_zpid/,"$235,000",Condo for sale,1 ba,1 bd,795 sqft,,Condo,2007,Forced air,Central,No Data,$292/month,$296,"$1,490"
"524-B Wabash Ave NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/524-B-Wabash-Ave-NE-Atlanta-GA-30312/2083828809_zpid/,"$825,000",House for sale,4 ba,4 bds,"2,047 sqft",,Single Family,2019,Forced air,Central,2 spaces,"6,316 sqft",$403,"$4,170"
"493 493:b Winton Ter # B, Atlanta, GA 30308",https://www.zillow.com/homedetails/493-493b-Winton-Ter-B-Atlanta-GA-30308/2082517624_zpid/,"$675,000",Townhouse for sale,4 ba,3 bds,-- sqft,"$665,924",Townhouse,2019,Forced air,Central,2 spaces,"2,178 sqft",No Data,"$3,412"
"524 524b Wabash Ave, Atlanta, GA 30312",https://www.zillow.com/homedetails/524-524b-Wabash-Ave-Atlanta-GA-30312/2082517814_zpid/,"$825,000",House for sale,4 ba,4 bds,"2,150 sqft","$812,307",Single Family,2019,Forced air,Central,2 spaces,"6,316 sqft",$384,"$4,170"
"520 520a Wabash Ave, Atlanta, GA 30312",https://www.zillow.com/homedetails/520-520a-Wabash-Ave-Atlanta-GA-30312/2082517924_zpid/,"$850,000",House for sale,4 ba,4 bds,"2,047 sqft",,Single Family,2019,Forced air,Central,2 spaces,"6,316 sqft",$415,"$4,296"
"900 Los Angeles Ave NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/900-Los-Angeles-Ave-NE-Atlanta-GA-30306/35895157_zpid/,"$1,095,000",House for sale,4 ba,5 bds,"3,097 sqft","$1,058,941",Single Family,1945,Forced air,Central,Off street,0.32 acres,$354,"$5,534"
"1185 Avondale Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1185-Avondale-Ave-SE-Atlanta-GA-30312/35869690_zpid/,"$275,000",For sale by owner,2 ba,2 bds,"1,213 sqft","$329,496",Single Family,1950,Forced air,Central,3 spaces,13 sqft,$227,"$1,351"
"865 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/865-Moreland-Ave-SE-Atlanta-GA-30316/35832839_zpid/,"$329,900",House for sale,3 ba,3 bds,"1,881 sqft","$329,900",Single Family,1930,Forced air,Other,No Data,"9,844 sqft",$175,"$1,620"
"1103 Kirkwood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1103-Kirkwood-Ave-SE-Atlanta-GA-30316/35839290_zpid/,"$379,900",House for sale,2 ba,3 bds,"1,824 sqft","$379,899",Single Family,1930,Forced air,Other,No Data,"6,751 sqft",$208,"$1,866"
"1237 Arkwright Pl SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1237-Arkwright-Pl-SE-Atlanta-GA-30317/14467750_zpid/,"$463,000",House for sale,4 ba,4 bds,"1,918 sqft","$449,746",Single Family,2007,Forced air,Central,Attached Garage,"8,712 sqft",$241,"$2,289"
"752 Winton Way # 93, Atlanta, GA 30312",https://www.zillow.com/homedetails/752-Winton-Way-93-Atlanta-GA-30312/2093512473_zpid/,"$489,000",Townhouse for sale,4 ba,3 bds,"2,073 sqft","$485,065",Townhouse,2017,"Forced air, Heat pump",Central,2 spaces,"1,698 sqft",$236,"$2,592"
"415 Gartrell St SE # 1, Atlanta, GA 30312",https://www.zillow.com/homedetails/415-Gartrell-St-SE-1-Atlanta-GA-30312/2092808746_zpid/,"$799,000",Make Me Move®,3.5 ba,4 bds,"1,969 sqft",,Townhouse,2017,Forced air,Central,2 spaces,No Data,$245,"$4,213"
"219 Degress Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/219-Degress-Ave-NE-Atlanta-GA-30307/35843367_zpid/,"$569,999",House for sale,2 ba,2 bds,"1,490 sqft",,Single Family,1920,Forced air,Central,No Data,"3,123 sqft",$383,"$2,801"
"987 Berne St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/987-Berne-St-SE-Atlanta-GA-30316/35832434_zpid/,"$500,000",Make Me Move®,2 ba,3 bds,"1,482 sqft","$405,427",Single Family,1994,Forced air,Central,"Off street, On street, Attached Garage","8,268 sqft",$337,"$2,456"
"384 Ralph Mcgill Blvd NE UNIT 119, Atlanta, GA 30312",https://www.zillow.com/homedetails/384-Ralph-Mcgill-Blvd-NE-UNIT-119-Atlanta-GA-30312/2086746891_zpid/,"$273,900",Condo for sale,2 ba,2 bds,"1,050 sqft","$264,736",Condo,2006,Forced air,Central,2 spaces,$540/month,$261,"$1,885"
"316 Carlyle Park Dr NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/316-Carlyle-Park-Dr-NE-Atlanta-GA-30307/70840055_zpid/,"$308,000",Townhouse for sale,2 ba,2 bds,"1,052 sqft","$298,443",Townhouse,2004,Forced air,Central,4 spaces,871 sqft,$293,"$1,724"
"542 Boulevard Pl NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/542-Boulevard-Pl-NE-Atlanta-GA-30308/35879157_zpid/,"$799,900",House for sale,1 ba,3 bds,"1,378 sqft","$797,427",Single Family,1920,Other,Central,No Data,"9,849 sqft",$580,"$4,043"
"375 Ralph Mcgill Blvd NE APT 501, Atlanta, GA 30312",https://www.zillow.com/homedetails/375-Ralph-Mcgill-Blvd-NE-APT-501-Atlanta-GA-30312/65461220_zpid/,"$189,000",Condo for sale,1 ba,2 bds,"1,014 sqft","$184,123",Condo,1980,Forced air,Other,No Data,$504/month,$186,"$1,477"
"358 Mcdonough Blvd SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/358-Mcdonough-Blvd-SE-Atlanta-GA-30315/35876966_zpid/,"$365,000",House for sale,3 ba,3 bds,"2,054 sqft","$363,882",Single Family,2005,Forced air,Central,Off street,"10,018 sqft",$178,"$1,793"
"640 Glen Iris Dr NE APT 610, Atlanta, GA 30308",https://www.zillow.com/homedetails/640-Glen-Iris-Dr-NE-APT-610-Atlanta-GA-30308/2084411432_zpid/,"$690,000",Condo for sale,2 ba,2 bds,"2,432 sqft",,Condo,2002,Forced air,Central,2 spaces,$669/month,$284,"$4,156"
"652 Mcgill Pl NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/652-Mcgill-Pl-NE-Atlanta-GA-30312/35879680_zpid/,"$274,900",Condo for sale,2 ba,2 bds,"1,266 sqft",,Condo,1987,Forced air,Central,No Data,$25/month,$217,"$1,375"
"1143 Boulevard Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1143-Boulevard-Dr-SE-Atlanta-GA-30317/35838951_zpid/,"$335,000",Lot / Land for sale,,"8,276 sqft lot",,,,,,,,,,"$1,645"
"375 Highland Ave NE UNIT 701, Atlanta, GA 30312",https://www.zillow.com/homedetails/375-Highland-Ave-NE-UNIT-701-Atlanta-GA-30312/65461133_zpid/,"$340,000",Condo for sale,4 ba,3 bds,"1,478 sqft","$334,988",Condo,2000,Forced air,Central,2 spaces,$395/month,$230,"$2,065"
"1902 Memorial Dr SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1902-Memorial-Dr-SE-Atlanta-GA-30317/14466537_zpid/,"$479,000",House for sale,3 ba,3 bds,"1,480 sqft","$478,995",Single Family,2004,Forced air,Central,1 space,"4,356 sqft",$324,"$2,368"
"800 Gresham Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/800-Gresham-Ave-SE-Atlanta-GA-30316/14456204_zpid/,"$230,000",House for sale,1 ba,2 bds,955 sqft,,Single Family,1940,Forced air,Central,No Data,"8,712 sqft",$241,"$1,192"
"175 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/175-Moreland-Ave-SE-Atlanta-GA-30316/35839312_zpid/,"$500,000",House for sale,1 ba,2 bds,"1,900 sqft","$492,820",Single Family,1930,Forced air,Central,2 spaces,"7,492 sqft",$263,"$2,456"
"652 Mcgill Pl NE # 652, Atlanta, GA 30312",https://www.zillow.com/homedetails/652-Mcgill-Pl-NE-652-Atlanta-GA-30312/2120894596_zpid/,"$274,900",Condo for sale,2 ba,2 bds,"1,266 sqft",,Condo,1987,Forced air,Central,No Data,No Data,$217,"$1,350"
"780 Fulton Ter SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/780-Fulton-Ter-SE-Atlanta-GA-30316/69344864_zpid/,"$609,000",House for sale,3 ba,3 bds,"1,944 sqft","$596,514",Single Family,2005,Forced air,Central,Off street,"3,615 sqft",$313,"$3,078"
"520 Waldo St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/520-Waldo-St-SE-Atlanta-GA-30312/35865631_zpid/,"$499,900",House for sale,3 ba,3 bds,"2,159 sqft",,Single Family,1920,Forced air,Central,Detached Garage,"4,500 sqft",$232,"$2,455"
"986 Grant Ter SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/986-Grant-Ter-SE-Atlanta-GA-30315/65450341_zpid/,"$345,000",House for sale,2 ba,3 bds,"1,158 sqft","$338,682",Single Family,2002,Other,"Central, Other",2 spaces,"5,227 sqft",$298,"$1,694"
"170 Boulevard SE APT E319, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-E319-Atlanta-GA-30312/2082579348_zpid/,"$479,900",Coming soon,2 ba,2 bds,"1,855 sqft","$410,757",Condo,2007,No Data,No Data,2 spaces,$508/month,$259,"$2,865"
"49 Howell St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/49-Howell-St-SE-Atlanta-GA-30312/35878446_zpid/,"$398,000",House for sale,1 ba,3 bds,"1,040 sqft","$395,908",Single Family,1920,Forced air,Central,1 space,"2,178 sqft",$383,"$1,955"
"644 Bryan St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/644-Bryan-St-SE-Atlanta-GA-30312/35865516_zpid/,"$300,000",House for sale,3 ba,3 bds,"2,178 sqft","$293,849",Single Family,1920,Forced air,Central,No Data,"6,098 sqft",$138,"$1,473"
"951 Glenwood Ave SE APT 203, Atlanta, GA 30316",https://www.zillow.com/homedetails/951-Glenwood-Ave-SE-APT-203-Atlanta-GA-30316/65460445_zpid/,"$375,000",Townhouse for sale,4 ba,3 bds,"1,792 sqft","$368,962",Townhouse,2001,Forced air,Central,2 spaces,"1,785 sqft",$209,"$2,219"
"595 Oakland Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/595-Oakland-Ave-SE-Atlanta-GA-30312/35878223_zpid/,"$679,000",House for sale,3 ba,3 bds,"2,634 sqft","$672,492",Single Family,1905,Forced air,Central,No Data,"4,965 sqft",$258,"$3,432"
"982 Northern Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/982-Northern-Ave-SE-Atlanta-GA-30316/2085517522_zpid/,"$785,000",House for sale,4 ba,4 bds,"2,603 sqft","$789,137",Single Family,2019,Forced air,Central,2 spaces,"4,007 sqft",$302,"$3,967"
"82 Rogers St # 10, Atlanta, GA",https://www.zillow.com/homedetails/82-Rogers-St-10-Atlanta-GA-30317/2082594821_zpid/,"$636,631",New construction,4 ba,3 bds,-- sqft,,Townhouse,2018,Gas,Central,Attached Garage,No Data,No Data,"$3,260"
"741 Frederica St NE APT 20, Atlanta, GA 30306",https://www.zillow.com/homedetails/741-Frederica-St-NE-APT-20-Atlanta-GA-30306/71752523_zpid/,"$214,000",Condo for sale,1 ba,1 bd,717 sqft,"$210,772",Condo,1929,Forced air,Central,1 space,$253/month,$298,"$1,355"
"480 John Wesley Dobbs Ave NE UNIT 336, Atlanta, GA 30312",https://www.zillow.com/homedetails/480-John-Wesley-Dobbs-Ave-NE-UNIT-336-Atlanta-GA-30312/92193165_zpid/,"$304,500",Condo for sale,1 ba,2 bds,"1,025 sqft","$300,658",Condo,2008,Forced air,Central,2 spaces,$376/month,$297,"$1,871"
"836 Brownwood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/836-Brownwood-Ave-SE-Atlanta-GA-30316/14446354_zpid/,"$399,900",House for sale,2 ba,3 bds,"1,400 sqft","$386,243",Single Family,1954,Other,None,1 space,0.3 acres,$286,"$1,977"
"980 Memorial Walk SE # 7, Atlanta, GA",https://www.zillow.com/homedetails/980-Memorial-Walk-SE-7-Atlanta-GA-30316/2082608405_zpid/,"$889,900",New construction,5 ba,4 bds,"3,390 sqft","$866,659",Townhouse,2019,Gas,Central,4 spaces,No Data,$263,"$4,833"
"408 Gartrell St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/408-Gartrell-St-SE-Atlanta-GA-30312/2082611126_zpid/,"$1,200,000",Lot / Land for sale,,0.35 acres lot,,,,,,,,,,"$6,065"
"14 Carter Ave SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/14-Carter-Ave-SE-Atlanta-GA-30317/14465529_zpid/,"$669,900",House for sale,3 ba,5 bds,"2,648 sqft",,Single Family,1930,Forced air,Central,No Data,"8,712 sqft",$253,"$3,408"
"64 Mortimer St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/64-Mortimer-St-SE-Atlanta-GA-30317/14467916_zpid/,"$375,000",House for sale,2 ba,3 bds,"1,363 sqft","$355,473",Single Family,1925,Forced air,Central,2 spaces,"8,712 sqft",$275,"$1,854"
"2358 Preston Park Ct, Decatur, GA",https://www.zillow.com/homedetails/2358-Preston-Park-Ct-Decatur-GA-30032/70830705_zpid/,"$409,900",New construction,4 ba,4 bds,"2,600 sqft","$396,661",Single Family,2019,"Baseboard, Forced air",Central,No Data,"8,712 sqft",$158,"$2,047"
"384 Ralph Mcgill Blvd NE UNIT 301, Atlanta, GA 30312",https://www.zillow.com/homedetails/384-Ralph-Mcgill-Blvd-NE-UNIT-301-Atlanta-GA-30312/88823867_zpid/,"$275,000",Condo for sale,2 ba,2 bds,"1,062 sqft","$273,582",Condo,2006,Forced air,Central,2 spaces,$456/month,$259,"$1,807"
"351 Cherokee Ave SE APT 7, Atlanta, GA 30312",https://www.zillow.com/homedetails/351-Cherokee-Ave-SE-APT-7-Atlanta-GA-30312/82615246_zpid/,"$209,900",Condo for sale,1 ba,2 bds,667 sqft,"$205,011",Condo,1965,Forced air,Central,1 space,$175/month,$315,"$1,255"
"875 Glen Arden Way NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/875-Glen-Arden-Way-NE-Atlanta-GA-30306/98004335_zpid/,"$2,100,000",House for sale,6 ba,5 bds,"7,130 sqft","$2,012,499",Single Family,2007,Forced air,Central,6 spaces,0.39 acres,$295,"$10,614"
"493B Winton Ter NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/493B-Winton-Ter-NE-Atlanta-GA-30308/2084665358_zpid/,"$675,000",House for sale,4 ba,3 bds,"1,800 sqft",,Single Family,2019,Gas,Central,2 spaces,"2,178 sqft",$375,"$3,412"
"520-A Wabash Ave NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/520-A-Wabash-Ave-NE-Atlanta-GA-30312/2084313377_zpid/,"$850,000",House for sale,4 ba,4 bds,"2,047 sqft",,Single Family,2019,Gas,Central,2 spaces,"6,316 sqft",$415,"$4,296"
"1514 May Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1514-May-Ave-SE-Atlanta-GA-30316/14455722_zpid/,"$350,000",Make Me Move®,2 ba,3 bds,"1,457 sqft","$339,819",Single Family,1955,Forced air,Other,1 space,0.3 acres,$240,"$1,731"
"1699 Braeburn Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1699-Braeburn-Dr-SE-Atlanta-GA-30316/14455467_zpid/,"Est. $204,932",Pre-foreclosure / Auction,1 ba,2 bds,"1,408 sqft","$204,932",Single Family,1948,Forced air,Central,No Data,"8,712 sqft",,"$1,013"
"1956 Mclendon Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1956-Mclendon-Ave-NE-Atlanta-GA-30307/14478319_zpid/,"$664,900",House for sale,2 ba,3 bds,"2,015 sqft","$643,451",Single Family,1943,Forced air,Central,2 spaces,0.5 acres,$330,"$3,383"
"1892 Gordon Mnr NE # 210, Atlanta, GA 30307",https://www.zillow.com/homedetails/1892-Gordon-Mnr-NE-210-Atlanta-GA-30307/2091383039_zpid/,"$399,999",Condo for sale,2 ba,2 bds,"1,518 sqft","$394,855",Condo,2005,Electric,Central,2 spaces,$440/month,$264,"$2,418"
"821 Ralph Mcgill Blvd NE APT 3224, Atlanta, GA 30306",https://www.zillow.com/homedetails/821-Ralph-Mcgill-Blvd-NE-APT-3224-Atlanta-GA-30306/82625446_zpid/,"$329,000",Condo for sale,2 ba,2 bds,"1,077 sqft","$328,995",Condo,2001,Forced air,Central,2 spaces,$354/month,$305,"$1,970"
"1266 Euclid Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1266-Euclid-Ave-NE-Atlanta-GA-30307/14479131_zpid/,"$1,200,000",Apartment for sale,-- ba,Studio,"4,895 sqft","$1,174,954",Multi Family,1910,No Data,Central,No Data,$245,,"$6,105"
"951 Wylie St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/951-Wylie-St-SE-Atlanta-GA-30316/35839051_zpid/,"$465,000",House for sale,2 ba,2 bds,"1,464 sqft",,Single Family,1920,Forced air,Other,No Data,"4,356 sqft",$318,"$2,284"
"1323 Wylie St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1323-Wylie-St-SE-Atlanta-GA-30317/14467488_zpid/,"$275,000",House for sale,2 ba,2 bds,"1,021 sqft","$272,754",Single Family,1947,Forced air,Central,Off street,"8,712 sqft",$269,"$1,360"
"1323 Wylie St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1323-Wylie-St-SE-Atlanta-GA-30317/14467488_zpid/,"$275,000",House for sale,2 ba,2 bds,"1,021 sqft","$272,754",Single Family,1947,Forced air,Central,Off street,"8,712 sqft",$269,"$1,360"
"1142 Lonetia St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1142-Lonetia-St-SE-Atlanta-GA-30312/65460977_zpid/,"$515,000",House for sale,3 ba,4 bds,"1,840 sqft","$504,546",Single Family,2001,"Heat pump, Other","Central, Other",2 spaces,"6,098 sqft",$280,"$2,529"
"0 Branham St NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/0-Branham-St-NE-Atlanta-GA-30317/2089495139_zpid/,"$499,900",Lot / Land for sale,,1.6 acres lot,,,,,,,,,,"$2,472"
"490 Hamilton St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/490-Hamilton-St-SE-Atlanta-GA-30316/69366929_zpid/,"$785,000",House for sale,3 ba,3 bds,"2,922 sqft","$768,758",Single Family,2005,Forced air,Central,No Data,"3,920 sqft",$269,"$4,109"
"541 Angier Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/541-Angier-Ave-NE-Atlanta-GA-30308/35879431_zpid/,"$850,000",Apartment for sale,-- ba,Studio,"3,538 sqft","$836,923",Multi Family,1998,Forced air,Central,3 spaces,$240,,"$4,296"
"1452 Hardee St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1452-Hardee-St-NE-Atlanta-GA-30307/14468043_zpid/,"$187,400",House for sale,1 ba,1 bd,602 sqft,"$176,150",Single Family,1920,Forced air,Other,No Data,"4,356 sqft",$311,$971
"1547 Paxon St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1547-Paxon-St-SE-Atlanta-GA-30317/14467060_zpid/,"$299,995",House for sale,2 ba,2 bds,946 sqft,"$288,782",Single Family,1947,Forced air,Central,2 spaces,"4,356 sqft",$317,"$1,483"
"2551 Mcafee Rd, Decatur, GA 30032",https://www.zillow.com/homedetails/2551-Mcafee-Rd-Decatur-GA-30032/14448378_zpid/,$--,Pre-foreclosure / Auction,1 ba,3 bds,"1,425 sqft",,Single Family,1948,Forced air,Central,6 spaces,0.8 acres,,$0
"856 Briarcliff Rd NE APT 14, Atlanta, GA 30306",https://www.zillow.com/homedetails/856-Briarcliff-Rd-NE-APT-14-Atlanta-GA-30306/2082680652_zpid/,"$188,000",Condo for sale,1 ba,1 bd,673 sqft,"$191,517",Condo,1940,Forced air,Central,1 space,$21/month,$279,$995
"1145 Kirkwood Ave SE # 1, Atlanta, GA",https://www.zillow.com/homedetails/1145-Kirkwood-Ave-SE-1-Atlanta-GA-30316/2082683546_zpid/,"$649,900",New construction,5 ba,4 bds,"2,546 sqft",,Townhouse,2019,Forced air,Central,Attached Garage,No Data,$255,"$3,285"
"90 Rogers St NE, Atlanta, GA",https://www.zillow.com/homedetails/90-Rogers-St-NE-Atlanta-GA-30317/2082684468_zpid/,"$572,232",New construction,4 ba,3 bds,"2,264 sqft","$553,157",Single Family,No Data,No Data,No Data,2 spaces,No Data,$253,"$2,831"
